,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,id,duration_ms,time_signature
13366,0.708,0.598,5,-8.365,1,0.0291,0.037,0.0,0.17,0.698,112.027,0qwGGjTxx1jeJfv9jRGjvN,203123,4
13367,0.651,0.703,0,-8.958,0,0.0816,0.0297,0.0,0.0608,0.647,140.051,1Nf5hkW8vD3Z03lcQtT72H,249444,4
13368,0.651,0.703,0,-8.958,0,0.0816,0.0297,0.0,0.0608,0.647,140.051,48c1aOHXUNkFz7ZYX61HAo,249444,4
13369,0.627,0.618,2,-8.529,1,0.0437,0.0558,0.0,0.351,0.848,82.03,3A9jnGC28cS4YeWNtRI36A,197443,4
13370,0.692,0.897,1,-4.017,1,0.0499,0.0119,6.43e-05,0.199,0.796,134.056,0Lwiv9X5OAJZ6vVLeiB0XY,195889,4
13371,0.651,0.703,0,-8.958,0,0.0816,0.0297,0.0,0.0608,0.647,140.051,2Mb8iA91tSBPMT5SlAlxQJ,249444,4
13372,0.726,0.699,5,-4.165,1,0.0431,0.049,0.0,0.309,0.866,143.994,3XbcxK9Ljqerd2ml1AOvOd,233478,4
13373,0.71,0.625,6,-9.008,0,0.0295,0.029,1.1e-05,0.108,0.784,140.994,6eDdPYB2byIguV05CHSjiK,307014,4
13374,0.818,0.804,1,-4.282,1,0.0798,0.034,0.0,0.154,0.634,106.969,3zEmLheiLFAr3Tcj8p2KSf,225983,4
13375,0.704,0.701,5,-4.314,1,0.0286,0.00391,0.0,0.058,0.584,108.992,4f18iR5OOaNS4kPwbZXU5Z,370812,4
13376,0.627,0.618,2,-8.529,1,0.0437,0.0558,0.0,0.351,0.848,82.03,44FqVzGuIg3k4zowd1LNih,197443,4
13377,0.651,0.703,0,-8.958,0,0.0816,0.0297,0.0,0.0608,0.647,140.051,2kP5LoXA5kUrcrNEU14NGv,249444,4
13378,0.852,0.551,1,-4.951,1,0.0416,0.0146,0.0,0.0898,0.85,134.061,4TYgQkUCIIc9DKzwLc8HYe,205080,4
13379,0.799,0.579,4,-5.144,0,0.0487,0.00381,0.0,0.367,0.363,142.987,5voK8HkmrmxNdlrx1Sf0X1,203161,4
13380,0.615,0.28,0,-8.648,1,0.0433,0.932,0.0,0.0877,0.387,72.797,5ibhT7fKbq9EgpfwF2MNJW,213827,4
13381,0.521,0.413,3,-5.86,1,0.0316,0.722,0.0,0.0854,0.49,175.972,7lqrKIk5s2ovfvGrTQRza8,132640,3
13382,0.482,0.548,11,-9.946,1,0.0373,0.0363,2.28e-06,0.3,0.346,76.017,3Z0DOACdMo5TCj1P6dKhdB,284870,4
13383,0.818,0.804,1,-4.282,1,0.0798,0.034,0.0,0.154,0.634,106.969,3SGQ1tI86cxIrubxBfkOzF,225983,4
13384,0.651,0.703,0,-8.958,0,0.0816,0.0297,0.0,0.0608,0.647,140.051,14xuVRt9oIGeOATmyrX6Bw,249444,4
13385,0.799,0.579,4,-5.144,0,0.0487,0.00381,0.0,0.367,0.363,142.987,02htQVRZ1GSVZwyK4P2xpR,203161,4
13386,0.852,0.551,1,-4.951,1,0.0416,0.0146,0.0,0.0898,0.85,134.061,6dBhm1GigloI9FxOY5SsiC,205080,4
13387,0.651,0.703,0,-8.958,0,0.0816,0.0297,0.0,0.0608,0.647,140.051,4zTItaLVVjsjNhatdQCCHJ,249444,4
13388,0.708,0.598,5,-8.365,1,0.0291,0.037,0.0,0.17,0.698,112.027,31dDTyoBgSkGxfIyBHhM6c,203123,4
13389,0.852,0.551,1,-4.951,1,0.0416,0.0146,0.0,0.0898,0.85,134.061,5TAWoVtq2DeRRuJT5Mpa43,205080,4
13390,0.635,0.843,5,-5.413,1,0.0432,0.0151,0.0,0.0876,0.434,109.014,3WrGseQrG0XpywAZKMJjXQ,220733,4
13391,0.523,0.607,1,-4.754,0,0.03,0.512,0.0,0.106,0.0651,145.837,6qkFiSQQ0XSY5IraTc6jki,217867,4
13392,0.799,0.579,4,-5.144,0,0.0487,0.00381,0.0,0.367,0.363,142.987,2yR58P9lVOwVYr9nVDKtwc,203161,4
13393,0.635,0.843,5,-5.413,1,0.0432,0.0151,0.0,0.0876,0.434,109.014,0ixx6jZdSF8ovoXSI7KYyA,220733,4
13394,0.627,0.618,2,-8.529,1,0.0437,0.0558,0.0,0.351,0.848,82.03,5eCNOW3YI7bbnimxXx6qER,197443,4
13395,0.706,0.558,2,-7.237,0,0.0596,0.146,0.0,0.118,0.228,110.444,0hOZeiow8ITh2eXMJaDB5H,223253,4
13396,0.818,0.804,1,-4.282,1,0.0798,0.034,0.0,0.154,0.634,106.969,3fxRZABazdL5IHUpIpF9As,225983,4
13397,0.627,0.618,2,-8.529,1,0.0437,0.0558,0.0,0.351,0.848,82.03,6rTs5JnGMPaHIKgMgBMw5B,197443,4
13398,0.661,0.389,2,-6.161,0,0.0296,0.822,0.0,0.121,0.426,97.873,3YuTTsu75yNDCUZTtlC5zM,246640,4
13399,0.651,0.703,0,-8.958,0,0.0816,0.0297,0.0,0.0608,0.647,140.051,7oevEWPsrMz3YEkyfC6e9x,249444,4
13400,0.651,0.703,0,-8.958,0,0.0816,0.0297,0.0,0.0608,0.647,140.051,4MKlYY8st7xKg6yEgGLIrC,249444,4
13401,0.726,0.699,5,-4.165,1,0.0431,0.049,0.0,0.309,0.866,143.994,7LbQqKkAjc8moPjp3wrSK9,233478,4
13402,0.852,0.551,1,-4.951,1,0.0416,0.0146,0.0,0.0898,0.85,134.061,554RPJkcbp5kHZYmg8M479,205080,4
13403,0.651,0.703,0,-8.958,0,0.0816,0.0297,0.0,0.0608,0.647,140.051,0mkOFe07y9cnCDcur07Ypd,249444,4
13404,0.799,0.579,4,-5.144,0,0.0487,0.00381,0.0,0.367,0.363,142.987,4K9jXNiYnus1FHkeNi5HAZ,203161,4
13405,0.651,0.703,0,-8.958,0,0.0816,0.0297,0.0,0.0608,0.647,140.051,50TrW5rxvEK5tYNbwvj1N5,249444,4
13406,0.799,0.579,4,-5.144,0,0.0487,0.00381,0.0,0.367,0.363,142.987,5TNzUCFeUpe9NjlkEcbDpQ,203161,4
13407,0.734,0.762,5,-6.881,0,0.072,0.00714,0.0,0.0312,0.923,104.945,36gpRAWGMy8uXunp2IBXlK,189440,4
13408,0.755,0.677,0,-6.555,1,0.071,0.0943,7.39e-05,0.153,0.78,93.026,2mNhDNi908RdjylZmYKT4X,203973,4
13409,0.627,0.618,2,-8.529,1,0.0437,0.0558,0.0,0.351,0.848,82.03,6v0YG3KJRbdW6P2YxoUvFJ,197443,4
13410,0.799,0.579,4,-5.144,0,0.0487,0.00381,0.0,0.367,0.363,142.987,10b50w7Znm0QEjRPlNDZ2K,203161,4
13411,0.852,0.551,1,-4.951,1,0.0416,0.0146,0.0,0.0898,0.85,134.061,2zcOQZMJ2LZuodzHbalak1,205080,4
13412,0.651,0.703,0,-8.958,0,0.0816,0.0297,0.0,0.0608,0.647,140.051,05gvaGe4yxxUrMNXIZvTfl,249444,4
